year,percent 1st gen,percent 2nd gen,cocitation_dois,n_total_1st_doi,n_total_2nd_doi,n_cocitation_doi
2008,0.0,0.0,[],2,1,0
2009,46.67,26.92,"['10.1109/wi-iat.2009.15', '10.1088/1742-5468/2009/07/p07042', '10.1103/physreve.80.026129', '10.1103/physreve.79.066107', '10.1103/physreve.80.016109', '10.1109/dasc.2009.91', '10.1109/wi-iat.2009.217']",15,26,7
2010,63.33,12.34,"['10.1109/ictai.2010.23', '10.1109/ita.2010.5454090', '10.1007/978-3-642-17616-6_10', '10.1109/wi-iat.2010.48', '10.1527/tjsai.25.16', '10.1103/physreve.81.046114', '10.20965/jaciii.2010.p0408', '10.1088/1367-2630/12/10/103018', '10.1016/j.physa.2009.12.019', '10.1016/j.physrep.2009.11.002', '10.3724/sp.j.1004.2010.01160', '10.1109/basna.2010.5730298', '10.1109/isme.2010.33', '10.1109/cyberc.2010.68', '10.1109/wowmom.2010.5534915', '10.1007/978-3-642-17316-5_42', '10.1109/asonam.2010.32', '10.1103/physreve.81.026105', '10.1109/asonam.2010.70']",30,154,19
2011,75.0,8.45,"['10.1109/eisic.2011.58', '10.1007/s13278-011-0035-7', '10.1007/s10618-011-0224-z', '10.1109/ipdps.2011.61', '10.1109/nsw.2011.6004645', '10.1088/1742-5468/2011/02/p02017', '10.1109/asonam.2011.104', '10.1016/j.physa.2011.03.036', '10.1007/978-3-642-22589-5_23', '10.1109/asonam.2011.53', '10.1109/grc.2011.6122697', '10.1371/journal.pone.0022943', '10.1109/icoin.2011.5723190', '10.1007/s12351-011-0115-5', '10.1109/icdmw.2011.154', '10.1111/j.1538-4632.2011.00830.x', '10.1007/978-1-4614-0754-6_6', '10.1002/sam.10133', '10.1371/journal.pone.0018961', '10.1109/fskd.2011.6019714', '10.1109/jproc.2011.2169033', '10.1007/978-3-642-25501-4_20', '10.1109/cason.2011.6085912', '10.1109/icnc.2011.6022234', '10.1140/epjb/e2011-10979-2', '10.1103/physreve.83.036103', '10.1103/physreve.83.066120', '10.1103/physreve.84.016114', '10.1103/physreve.84.026110', '10.1007/s11390-011-0177-0']",40,355,30
2012,80.36,8.56,"['10.1007/s11390-012-1236-x', '10.1209/0295-5075/99/38006', '10.1007/978-3-7091-1346-2_16', '10.1088/0253-6102/58/4/27', '10.1109/sibgrapi.2012.13', '10.1109/ccis.2012.6664283', '10.1007/978-3-642-30045-5_5', '10.1109/asonam.2012.119', '10.1109/icssem.2012.6340748', '10.1002/9781118346990.ch1', '10.1140/epjb/e2012-30301-2', '10.4304/jcp.7.1.135-140', '10.1016/j.jocs.2012.03.006', '10.1088/0256-307x/29/9/098901', '10.1109/la-web.2012.19', '10.1016/j.physa.2011.09.028', '10.1103/physreve.86.066106', '10.1016/j.physa.2011.12.055', '10.1088/1742-5468/2012/09/p09008', '10.7498/aps.61.218901', '10.1016/j.physa.2012.07.007', '10.1142/s0219525912500361', '10.1088/0256-307x/29/4/048902', '10.1371/journal.pone.0029358', '10.1007/978-1-4471-4048-1_4', '10.1016/j.physa.2011.12.019', '10.1103/physreve.86.016107', '10.1140/epjds9', '10.1140/epjb/e2011-20448-7', '10.1007/978-3-642-29920-9_41', '10.1109/aisp.2012.6313748', '10.1007/978-3-642-29047-3_13', '10.1109/cason.2012.6412391', '10.1007/978-3-642-31612-8_31', '10.1109/icaci.2012.6463189', '10.1007/978-3-642-29920-9_4', '10.1109/cec.2012.6256434', '10.1371/journal.pcbi.1002391', '10.1109/cit.2012.30', '10.1007/978-1-4471-4048-1_3', '10.1103/physreve.86.016111', '10.1007/s00500-012-0942-1', '10.1007/978-3-642-30220-6_3', '10.1016/j.physa.2011.09.040', '10.1109/icdm.2012.14']",56,526,45
2013,79.07,7.79,"['10.1109/sitis.2013.80', '10.1016/j.compenvurbsys.2013.03.002', '10.1109/cloudcom-asia.2013.77', '10.1007/s11771-013-1611-y', '10.1109/cse.2013.76', '10.1007/s13278-013-0120-1', '10.1080/18756891.2013.773175', '10.1109/icassp.2013.6638196', '10.1007/978-3-642-53914-5_36', '10.1007/978-3-642-37832-4_23', '10.1007/978-3-642-35843-2_7', '10.1007/s13278-013-0096-x', '10.1109/iv.2013.23', '10.1080/00343404.2011.622745', '10.1109/icpp.2013.27', '10.1186/1471-2105-14-227', '10.1007/978-3-642-31821-4_1', '10.1007/978-3-642-35795-4_38', '10.1007/s11590-013-0621-x', '10.1007/978-3-642-41154-0_4', '10.1109/wisa.2013.54', '10.1007/978-3-642-38466-0_33', '10.1007/s10115-013-0626-x', '10.1145/2487575.2487666', '10.1007/978-3-642-31821-4_2', '10.1016/j.physa.2012.09.023', '10.1016/j.physa.2012.12.013', '10.1007/s13278-013-0104-1', '10.1109/aina.2013.47', '10.1109/cse.2013.88', '10.1016/j.physa.2012.09.012', '10.1109/cgc.2013.91', '10.1109/icmla.2013.40', '10.1007/978-3-642-37450-0_25', '10.4028/www.scientific.net/amm.462-463.458', '10.1016/j.physa.2012.11.003', '10.1109/cloudcom-asia.2013.50', '10.1007/s10618-013-0331-0', '10.1016/j.datak.2012.09.002', '10.1145/2492517.2492545', '10.1016/j.physa.2013.06.056', '10.1007/s10115-013-0644-8', '10.1145/2492517.2492518', '10.1007/s13278-013-0142-8', '10.1109/percom.2013.6526730', '10.1007/978-3-642-37382-4_9', '10.1007/978-3-642-40140-4_13', '10.4028/www.scientific.net/amr.694-697.1301', '10.1109/cyberc.2013.37', '10.1007/978-3-319-03578-9_1', '10.1007/978-3-319-03844-5_66', '10.1016/j.eswa.2013.03.004', '10.1016/j.physa.2013.03.014', '10.1145/2501654.2501657', '10.1109/tencon.2013.6718939', '10.1109/comgeo.2013.24', '10.1109/cec.2013.6557634', '10.1109/nsw.2013.6609210', '10.1109/socialcom.2013.37', '10.1109/ijcnn.2013.6706944', '10.1007/978-3-642-30287-9_12', '10.1109/ikt.2013.6620112', '10.1007/978-3-319-00110-4_2', '10.1109/mec.2013.6885374', '10.2139/ssrn.2268165', '10.1007/978-3-642-35668-1_18', '10.1007/978-1-4614-6729-8_6', '10.1016/j.ins.2012.08.001']",86,873,68
2014,81.82,8.19,"['10.1186/1471-2105-15-220', '10.1088/1367-2630/16/6/063007', '10.1142/s0219525914500234', '10.1145/2649387.2649446', '10.1109/bracis.2014.78', '10.1016/j.ecolmodel.2013.12.014', '10.1016/j.ins.2014.02.040', '10.1007/978-3-319-08783-2_57', '10.1155/2014/627581', '10.1016/j.physa.2014.04.003', '10.1016/j.dam.2013.09.017', '10.1109/compsacw.2014.43', '10.1093/comnet/cnu035', '10.1109/iih-msp.2014.195', '10.1109/asonam.2014.6921567', '10.1109/icdew.2014.6818312', '10.1371/journal.pone.0112612', '10.1016/j.physa.2014.05.073', '10.1109/percomw.2014.6815211', '10.1016/j.scico.2014.01.006', '10.1088/1367-2630/16/9/093001', '10.1142/s0217979214502117', '10.1145/2588555.2612179', '10.1109/asonam.2014.6921583', '10.1109/confluence.2014.6949355', '10.1142/s0217979214502166', '10.1109/icde.2014.6816682', '10.1109/sitis.2014.93', '10.4028/www.scientific.net/amr.1049-1050.1566', '10.1109/icc.2014.6883963', '10.1142/s0219525914500210', '10.1007/978-3-319-06391-1_2', '10.1109/cse.2014.65', '10.1007/978-3-319-09761-9_35', '10.1109/wisa.2014.29', '10.1145/2629511', '10.4028/www.scientific.net/amm.644-650.3295', '10.1007/978-3-7091-1797-2_6', '10.1371/journal.pone.0110088', '10.1145/2601412', '10.1109/hpec.2014.7040973', '10.1016/j.physa.2014.01.043', '10.1109/icmew.2014.6890710', '10.1007/978-3-319-05813-9_20', '10.1109/bracis.2014.79', '10.1109/asonam.2014.6921701', '10.1109/cbd.2014.52', '10.1007/978-1-4614-6170-8_218', '10.1080/13658816.2014.964247', '10.1109/icitcs.2014.7021707', '10.1007/978-94-017-9205-9_8', '10.1109/mass.2014.77', '10.1109/tifs.2014.2334272', '10.1109/icdmw.2014.158', '10.1016/j.physa.2014.03.059', '10.1162/neco_a_00673', '10.1109/comcomap.2014.7017161', '10.1007/978-1-4614-6170-8_224', '10.1007/s11390-014-1492-z', '10.1007/s11432-014-5067-y', '10.1145/2641759', '10.4028/www.scientific.net/amm.590.756', '10.1016/j.physa.2013.12.003', '10.1109/enic.2014.15', '10.1007/s00607-014-0433-6', '10.1007/s00354-014-0406-5', '10.1109/ictai.2014.77', '10.1109/itsc.2014.6957846', '10.1007/978-3-319-05401-8_15', '10.1088/1751-8113/47/16/165101', '10.1088/1674-1056/23/9/098902', '10.1109/enic.2014.26', '10.1155/2014/130689', '10.1109/ucc.2014.146', '10.1145/2661829.2661831', '10.1109/istel.2014.7000765', '10.1109/siu.2014.6830335', '10.1016/j.jcss.2013.03.012', '10.1287/ijoc.2013.0588', '10.1109/cec.2014.6900367', '10.1142/s0217979214502087', '10.1155/2014/406485', '10.1007/s00607-014-0401-1', '10.1109/cidm.2014.7008675', '10.1007/978-3-319-09492-2_1', '10.1109/cbmi.2014.6849841', '10.1002/wics.1319', '10.1155/2014/148686', '10.1016/j.physa.2014.09.023', '10.1109/asonam.2014.6921582', '10.1109/glocom.2014.7037253', '10.1145/2517088', '10.1103/physreve.90.012806', '10.1109/bigdata.2014.7004265', '10.1007/978-3-7091-1797-2_1', '10.1007/978-3-319-09284-3_14', '10.1007/978-3-319-07959-2_30', '10.1007/s40595-014-0025-6', '10.1007/s10844-014-0315-6']",121,1209,99
2015,86.23,8.9,"['10.1016/j.neucom.2014.04.084', '10.1145/2740908.2744715', '10.1109/iccsn.2015.7296184', '10.1109/smc.2015.239', '10.1109/icawst.2015.7314035', '10.1016/j.physa.2015.05.101', '10.1186/s40649-015-0020-9', '10.3390/a8030680', '10.1109/icicse.2015.46', '10.1145/2808797.2808826', '10.1007/s10618-015-0440-z', '10.1186/s12863-014-0158-8', '10.1007/978-3-319-16354-3_53', '10.17706/jsw.10.7.825-834', '10.1109/csicsse.2015.7369236', '10.1145/2808797.2808903', '10.3390/e17042228', '10.1177/0165551515592599', '10.1016/j.comnet.2015.10.018', '10.1109/ihmsc.2015.33', '10.1111/coin.12082', '10.1007/978-3-319-11310-4_44', '10.1088/1742-5468/2015/11/p11006', '10.1109/soli.2015.7367608', '10.1103/physreve.92.032801', '10.1007/s11280-015-0330-8', '10.1109/aisp.2015.7123488', '10.1007/978-3-319-19548-3_18', '10.1016/j.jss.2015.06.015', '10.1142/s0218213015400072', '10.1139/cjp-2013-0652', '10.1371/journal.pone.0126845', '10.1007/s40314-015-0260-1', '10.1109/ipdps.2015.59', '10.1109/wi-iat.2015.19', '10.1016/j.physa.2015.03.048', '10.1007/s00122-015-2582-1', '10.1007/978-3-662-49224-6_9', '10.1007/978-3-319-27000-5_4', '10.2166/hydro.2015.146', '10.1016/j.physa.2015.02.020', '10.1088/1742-5468/2015/05/p05017', '10.1109/bigdata.2015.7364021', '10.1155/2015/461362', '10.1007/978-3-319-24069-5_13', '10.1016/j.neucom.2014.04.087', '10.1016/j.physa.2014.10.095', '10.1155/2015/109671', '10.1016/j.physa.2015.07.016', '10.1109/icc.2015.7248492', '10.1016/j.physa.2015.02.004', '10.1140/epjds/s13688-015-0048-y', '10.1109/tkde.2015.2445775', '10.1109/bigdata.2015.7364029', '10.1007/s13278-015-0259-z', '10.1007/978-3-319-23835-7_1', '10.1007/978-3-319-13359-1_21', '10.1007/978-3-662-47401-3_31', '10.1007/978-3-319-19644-2_16', '10.1017/nws.2015.23', '10.1016/j.knosys.2014.11.010', '10.1016/j.patrec.2015.02.005', '10.1109/icdmw.2015.58', '10.1016/j.physa.2015.05.080', '10.1007/s10586-015-0504-2', '10.1142/s0217979215500782', '10.1109/icacci.2015.7275617', '10.1145/2700404', '10.1109/iccke.2015.7365864', '10.1109/sitis.2015.22', '10.1109/chicc.2015.7259812', '10.1109/bigdata.2015.7363911', '10.3389/fnana.2015.00097', '10.1109/cluster.2015.11', '10.1109/dsaa.2015.7344845', '10.1007/978-3-319-26181-2_33', '10.1140/epjb/e2015-60226-y', '10.1007/s13278-015-0254-4', '10.1016/j.tcs.2014.11.026', '10.1007/978-3-319-27261-0_3', '10.14778/2794367.2794370', '10.1145/2818185', '10.1109/icenco.2015.7416365', '10.1109/tpds.2014.2370031', '10.1007/978-3-319-21786-4_10', '10.1145/2807591.2807668', '10.1109/pic.2015.7489908', '10.1007/978-3-319-20367-6_15', '10.1016/j.knosys.2015.08.015', '10.1093/femsec/fiv067', '10.1109/mobserv.2015.42', '10.1007/978-3-319-20472-7_35', '10.1109/icmlc.2015.7340609', '10.1527/tjsai.30.84', '10.1007/s11390-015-1589-z', '10.3233/ifs-151974', '10.1088/1742-5468/2015/01/p01001', '10.1109/ipdps.2015.54', '10.1016/j.promfg.2015.07.982', '10.1016/j.neucom.2015.04.093', '10.1109/gsis.2015.7301846', '10.1145/2736277.2741676', '10.1016/j.physa.2015.05.044', '10.1109/sbac-pad.2015.22', '10.1145/2808797.2808825', '10.1007/s11280-015-0378-5', '10.1007/978-3-319-26989-4_10', '10.1016/j.jpdc.2014.09.012', '10.1145/2808797.2808866', '10.1007/978-3-662-47824-0_2', '10.1103/physreve.91.012801', '10.1109/ipdps.2015.18', '10.1007/978-3-319-19048-8_28', '10.1109/35021bigcomp.2015.7072830', '10.1007/s00500-015-1706-5', '10.1109/aiccsa.2015.7507215', '10.1109/cyberc.2015.41', '10.1007/978-3-319-25751-8_79', '10.1007/978-81-322-2734-2_9']",138,1337,119
2016,80.79,8.33,"['10.1109/enic.2016.017', '10.1007/s10796-016-9696-0', '10.1109/iccsnt.2016.8070177', '10.1145/2994620.2994624', '10.1109/icde.2016.7498226', '10.1017/nws.2016.20', '10.1016/j.physa.2016.04.042', '10.1016/j.biosystems.2016.04.008', '10.3389/fphy.2016.00034', '10.1002/tee.22278', '10.1109/cit.2016.63', '10.1109/skg.2016.009', '10.1186/s12859-016-0979-8', '10.1016/j.patrec.2015.11.008', '10.1109/allerton.2016.7852260', '10.1007/978-3-319-33609-1_32', '10.1145/2998476.2998486', '10.1051/itmconf/20160704012', '10.1142/s0217979216500934', '10.1007/s13278-016-0372-7', '10.1016/j.ins.2015.07.046', '10.1007/s13278-016-0386-1', '10.1109/iscid.2016.2070', '10.1145/2925995.2926011', '10.1088/1742-5468/2016/03/033405', '10.1145/2882903.2899386', '10.1007/978-3-319-45559-4_13', '10.1111/glob.12130', '10.1007/978-3-319-28361-6_9', '10.1002/cpe.3896', '10.1109/ipdps.2016.93', '10.1007/978-3-319-47160-0_40', '10.1016/j.ins.2016.07.024', '10.1109/ijcnn.2016.7727271', '10.3233/jifs-169171', '10.1109/bigdata.2016.7840991', '10.1109/ipdps.2016.110', '10.1109/ihmsc.2016.76', '10.1016/j.eswa.2016.01.026', '10.1140/epjb/e2016-70264-6', '10.1109/icdmw.2016.0019', '10.1109/incos.2016.14', '10.3389/fninf.2016.00045', '10.1145/2872427.2882972', '10.1109/rivf.2016.7800264', '10.1007/978-3-319-50901-3_22', '10.1016/j.physa.2016.01.025', '10.1109/smap.2016.7753375', '10.2139/ssrn.2937843', '10.1016/j.ins.2016.03.028', '10.1007/978-3-319-45817-5_10', '10.1109/dasc-picom-datacom-cyberscitec.2016.46', '10.1109/snpd.2016.7515870', '10.1109/asonam.2016.7752216', '10.1109/enic.2016.040', '10.1145/2898362', '10.1142/s0217984916501876', '10.1007/978-3-319-49586-6_5', '10.1007/978-3-319-46675-0_19', '10.1016/j.neucom.2015.11.091', '10.1007/978-981-10-1536-6_91', '10.1109/wisa.2016.39', '10.1109/ism.2016.0106', '10.1109/icumt.2016.7765382', '10.1016/j.procs.2016.08.103', '10.1016/j.ins.2015.05.008', '10.1371/journal.pone.0156576', '10.1007/s13278-016-0394-1', '10.1109/dsc.2016.99', '10.1103/physreve.93.022301', '10.1371/journal.pone.0155320', '10.1109/tkde.2016.2563425', '10.1145/2851496', '10.1007/978-3-319-49487-6_4', '10.1016/j.neucom.2016.01.109', '10.1109/icsess.2016.7883024', '10.1109/iota.2016.7562715', '10.1371/journal.pone.0157988', '10.1007/s13278-016-0390-5', '10.1016/j.physrep.2016.09.002', '10.1007/978-3-319-49487-6_9', '10.1007/978-3-319-47121-1_22', '10.1534/genetics.115.182626', '10.3390/info7010017', '10.1109/dsc.2016.14', '10.1007/978-3-319-47717-6_7', '10.1007/978-3-319-50137-6_11', '10.1145/2775108', '10.1007/978-981-10-3274-5_18', '10.1007/s40815-016-0245-2', '10.1016/j.physa.2015.09.072', '10.1111/coin.12087', '10.1371/journal.pone.0158247', '10.1109/icngis.2016.7854070', '10.1109/icc.2016.7511156', '10.1007/978-3-319-42345-6_7', '10.1145/2851613.2851809', '10.1142/s0217979216500429', '10.1371/journal.pone.0154404', '10.1007/978-3-319-39601-9_38', '10.1016/j.physa.2016.01.020', '10.1007/978-3-319-47952-1_24', '10.1109/trustcom.2016.0246', '10.1088/1742-5468/2016/12/123401', '10.1007/s13278-016-0318-0', '10.1016/j.comnet.2016.06.002', '10.1016/j.knosys.2016.09.015', '10.1145/2953883', '10.1051/itmconf/20160705007', '10.1109/scc.2016.101', '10.1002/widm.1178', '10.1007/s11280-016-0393-1', '10.1016/j.socnet.2015.07.003', '10.1109/asonam.2016.7752212', '10.1007/978-3-319-49586-6_29', '10.1007/s00521-016-2264-1', '10.1007/978-3-319-47121-1_13', '10.1016/j.neucom.2015.10.142', '10.1109/issre.2016.14', '10.1007/s00607-016-0524-7', '10.1142/s0218001416590242', '10.1109/bdcloud-socialcom-sustaincom.2016.61', '10.1109/tpds.2015.2390633', '10.1109/fskd.2016.7603353', '10.1016/j.physa.2016.05.063', '10.1007/s10732-016-9315-8', '10.1007/978-981-10-2993-6_5', '10.1155/2016/1873504', '10.1007/978-3-319-44350-8_17', '10.1016/j.engappai.2016.06.003', '10.1371/journal.pone.0159161', '10.1109/tkde.2016.2553667', '10.1109/besc.2016.7804476', '10.1016/j.asoc.2016.01.036', '10.1016/j.neucom.2015.11.125', '10.1016/j.physa.2016.05.014', '10.1145/2980523.2980527', '10.1016/j.physa.2015.09.093', '10.1109/hpcc-smartcity-dss.2016.0012', '10.5897/sre2015.6354', '10.1016/j.physa.2015.12.073', '10.1109/fskd.2016.7603422', '10.1007/978-3-319-48740-3_17']",177,1717,143
2017,88.59,7.62,"['10.1109/iccsnt.2017.8343694', '10.1016/j.socnet.2017.02.002', '10.1016/j.physa.2017.01.030', '10.1007/978-3-319-57454-7_57', '10.1093/comnet/cnx004', '10.1109/hpcc-smartcity-dss.2017.19', '10.1007/978-3-319-68935-7_2', '10.3233/jifs-151276', '10.1007/s11036-017-0830-0', '10.1007/978-3-319-57529-2_40', '10.1016/j.ins.2017.08.056', '10.1145/3110025.3110053', '10.1145/3132847.3132960', '10.1145/3089871.3089879', '10.1109/jsyst.2015.2448599', '10.1007/978-3-319-65551-2_50', '10.1109/tkde.2017.2653115', '10.1007/s10479-017-2553-9', '10.1186/s40535-017-0037-2', '10.1007/s11227-017-1976-z', '10.1109/tpds.2017.2671868', '10.1007/978-981-10-6805-8_28', '10.1007/978-3-319-63558-3_35', '10.1093/jigpal/jzx043', '10.1007/978-3-319-68935-7_15', '10.1142/s0129183117500061', '10.1109/icsssm.2017.7996310', '10.1007/978-3-319-51367-6_7', '10.1007/s10586-017-1472-5', '10.1007/978-3-319-67636-4_22', '10.1007/978-1-4614-7163-9_218-1', '10.1016/j.future.2016.06.033', '10.1007/978-981-10-7359-5_10', '10.1007/978-3-319-61845-6_33', '10.1016/j.eswa.2017.05.010', '10.1109/cesys.2017.8321273', '10.1145/3110025.3110052', '10.1016/j.physa.2016.11.098', '10.1109/smc.2017.8122595', '10.1145/3080574', '10.1016/j.eswa.2016.12.039', '10.1145/3078897.3080534', '10.1038/s41467-017-01825-5', '10.1109/access.2017.2706018', '10.1016/j.jhydrol.2016.11.056', '10.1007/978-3-319-56246-9_16', '10.1145/3078714.3078738', '10.1007/978-3-319-60840-2_12', '10.1145/3171592.3171600', '10.1016/j.physa.2016.12.047', '10.1088/1742-5468/aa6b2c', '10.3390/su9091541', '10.1002/cpe.4355', '10.1007/978-3-319-65139-2_3', '10.3233/web-170362', '10.1007/978-3-319-72150-7_19', '10.1007/s11280-017-0441-5', '10.1142/s0217984917501627', '10.1073/pnas.1617052114', '10.1080/00273171.2017.1391682', '10.1016/j.asoc.2017.08.050', '10.1145/3127404.3127412', '10.1109/bibm.2017.8217774', '10.1109/iciea.2017.8282984', '10.1007/s11192-017-2318-x', '10.1109/ispan-fcst-iscc.2017.40', '10.1007/978-3-319-49340-4_14', '10.1007/s11518-017-5329-5', '10.1145/3136273.3136297', '10.1007/978-3-319-58895-7_26', '10.3233/ida-163156', '10.1007/978-3-319-68542-7_57', '10.1371/journal.pone.0178006', '10.1371/journal.pone.0187603', '10.1109/csitechnol.2017.8312155', '10.1038/s41467-017-01189-w', '10.1007/s13042-017-0745-x', '10.1007/978-3-319-72150-7_24', '10.1109/icwr.2017.7959298', '10.1109/besc.2017.8256374', '10.1109/icccn.2017.8038442', '10.1109/access.2017.2714018', '10.1007/s10115-017-1105-6', '10.1016/j.physa.2016.11.066', '10.1016/j.osnem.2017.10.003', '10.1109/mlds.2017.14', '10.1109/dasc-picom-datacom-cyberscitec.2017.178', '10.1007/s41109-017-0029-0', '10.1007/s10489-017-0948-6', '10.1007/s10586-017-0963-8', '10.1007/978-3-319-55471-6_1', '10.1155/2017/4143638', '10.1016/j.dss.2017.02.010', '10.1109/infocomtech.2017.8340627', '10.1016/j.physa.2016.11.029', '10.1109/tetc.2017.2751101', '10.1007/978-3-319-49340-4_18', '10.1109/dsaa.2017.33', '10.1016/j.bdr.2017.10.003', '10.1016/j.cities.2016.08.008', '10.1186/s12870-017-1062-y', '10.1109/tbdata.2016.2631512', '10.1007/s11276-017-1478-1', '10.1109/icbda.2017.8078744', '10.1130/g38944.1', '10.1109/bigdata.2017.8258147', '10.3233/ida-150349', '10.1145/3106426.3106477', '10.1145/3110025.3110125', '10.18500/1816-9791-2017-17-4-441-451', '10.1155/2017/8986360', '10.1371/journal.pone.0169355', '10.1007/978-3-319-62389-4_49', '10.1371/journal.pone.0188655', '10.1016/j.future.2016.06.032', '10.1145/3007748.3018285', '10.1109/tnet.2017.2708090', '10.1126/sciadv.1601895', '10.1007/978-3-319-70139-4_35', '10.1007/978-3-319-70093-9_10', '10.1109/icitech.2017.8079941', '10.1007/978-1-4614-7163-9_224-1', '10.1109/icmic.2017.8321708', '10.1109/tsmc.2017.2726547', '10.1142/s0218213017600132', '10.1109/access.2017.2740962', '10.1145/3035918.3035943', '10.1016/b978-1-78548-157-4.50011-x', '10.1109/ipdps.2017.95', '10.1109/access.2017.2769484', '10.1007/978-981-10-5281-1_35', '10.1109/socialmedia.2017.8057361', '10.1109/ccaa.2017.8229814', '10.1017/nws.2017.32', '10.1007/s11192-017-2561-1', '10.1016/j.procs.2017.08.045', '10.1016/j.jpdc.2016.02.003', '10.1109/ictus.2017.8286044', '10.1038/ncomms14238', '10.1016/j.ins.2017.01.026', '10.1016/j.physa.2017.01.018', '10.1007/978-3-319-70284-1_26', '10.1007/978-3-319-72150-7_15', '10.1109/icisce.2017.188', '10.1145/3110025.3116193', '10.1007/978-981-10-3966-9_7', '10.1016/j.knosys.2016.09.029', '10.1016/j.physa.2016.08.012', '10.1177/0047287517706262', '10.1109/csci.2017.150', '10.1007/978-3-319-73521-4_4', '10.1016/j.physleta.2017.06.018', '10.1109/ccaa.2017.8229801', '10.1007/s11280-017-0519-0', '10.1103/physreve.96.052313', '10.1007/978-3-319-57529-2_60', '10.1103/physreve.96.052311', '10.1007/s00521-017-2884-0', '10.1145/3183584.3183621', '10.1016/j.jpdc.2017.05.009', '10.1109/icnisc.2017.00056', '10.1007/978-3-319-64167-6_3', '10.1109/icccbda.2017.7951954']",184,2140,163
