user_doi,doi
2350,10.3390/g8010012
2351,10.1101/428730
2352,10.1109/mtits.2015.7223282
2353,10.1109/icc.2010.5502187
2354,10.3390/genes10020098
2355,10.1109/icc.2011.5962642
2356,10.2139/ssrn.2580700
2357,10.1007/978-3-030-05090-0_40
2358,10.1109/icc.2014.6883961
2359,10.1109/icc.2014.6883963
2360,10.1109/icc.2015.7248492
2361,10.1101/449439
2362,10.1109/icc.2016.7511157
2363,10.1007/978-3-030-05366-6_20
2364,10.1088/1751-8121/ab542f
2365,10.1109/icc.2017.7996910
2366,10.1007/978-3-030-05411-3_14
2367,10.1007/978-3-030-05411-3_15
2368,10.1007/978-3-030-05411-3_17
2369,10.1007/978-3-030-05411-3_18
2370,10.1007/978-3-030-05411-3_5
2371,10.1007/s10961-021-09887-w
2372,10.1016/j.tics.2013.09.012
2373,10.1111/coin.12273
2374,10.1016/j.tics.2017.05.010
2375,10.1016/j.tics.2018.09.007
2376,10.1101/659508
2377,10.1101/473751
2378,10.23919/iccas47443.2019.8971510
2379,10.1007/978-3-030-06128-9_2
2380,10.1145/2487788.2487884
2381,10.1145/2487788.2487941
2382,10.1145/2487788.2487987
2383,10.1145/2488388.2488439
2384,10.1145/2488388.2488486
2385,10.1145/2517085
2386,10.1145/2517088
2387,10.1007/978-3-030-06222-4_8
2388,10.1007/s10878-021-00788-0
2389,10.1145/2567948.2580060
2390,10.1145/2567948.2580073
2391,10.1038/s41524-017-0035-x
2392,10.1145/2594454
2393,10.1007/978-3-030-10463-4_13
2394,10.23841/egsk.2016.19.1.83
2395,10.23841/egsk.2017.20.2.121
2396,10.3390/w12041002
2397,10.1145/2638551
2398,10.1145/2640087.2644150
2399,10.1007/978-3-642-36981-0_32
2400,10.1145/2661829.2661973
2401,10.1145/2661829.2662040
2402,10.1016/j.tmp.2019.100607
2403,10.1038/s41540-018-0052-5
2404,10.1007/978-3-642-37270-4_25
2405,10.1007/978-3-642-37270-4_26
2406,10.1145/2666310.2666496
2407,10.2139/ssrn.2715441
2408,10.1145/2668067.2668079
2409,10.1016/j.tourman.2017.07.004
2410,10.1007/978-3-642-37374-9_11
2411,10.1007/978-3-642-37450-0_25
2412,10.1007/978-3-642-37453-1_46
2413,10.1007/978-3-642-37453-1_47
2414,10.1007/978-3-642-37463-0_22
2415,10.1145/2678025.2701370
2416,10.2139/ssrn.2729268
2417,10.2139/ssrn.2731304
2418,10.1038/s41551-019-0404-5
2419,10.3758/s13415-013-0181-7
2420,10.1145/2689746.2689754
2421,10.1111/tbed.14303
2422,10.1145/2695664.2695888
2423,10.1007/978-3-642-37781-5_9
2424,10.1101/588665
2425,10.1103/physrevlett.127.098103
2426,10.1117/12.2189847
2427,10.1093/jamia/ocz022
2428,10.1101/590935
2429,10.1145/2717314
2430,10.1080/00018730601170527
2431,10.1145/2723372.2749450
2432,10.1161/jaha.118.010054
2433,10.23919/acc.2017.7963107
2434,10.1007/978-3-030-11884-6_7
2435,10.23919/acc.2017.7963796
2436,10.1155/2021/4788357
2437,10.1088/1741-2552/ac20e7
2438,10.3389/fpsyg.2021.662409
2439,10.3758/s13428-018-1090-z
2440,10.1101/611418
2441,10.1101/611566
2442,10.23919/chicc.2018.8483327
2443,10.23919/chicc.2018.8483428
2444,10.1101/547570
2445,10.1038/s41562-017-0290-3
2446,10.1016/j.jtbi.2021.110881
2447,10.1007/978-3-030-12528-8_8
2448,10.2139/ssrn.2819967
2449,10.2139/ssrn.2833789
2450,10.1111/j.1365-2311.2011.01294.x
2451,10.1101/643643
2452,10.1016/j.celrep.2021.109575
2453,10.23919/inm.2017.7987415
2454,10.1117/12.2242537
2455,10.23919/itc.2017.8064358
2456,10.23919/mipro.2019.8757081
2457,10.23919/picmet.2017.8125247
2458,10.23919/picmet.2017.8125280
2459,10.23919/picmet.2017.8125406
2460,10.2139/ssrn.2881923
2461,10.1162/artl_a_00038
2462,10.2139/ssrn.2882172
2463,10.23919/springsim.2019.8732851
2464,10.1162/coli_a_00354
2465,10.3389/fgene.2021.706952
2466,10.1007/978-0-8176-4751-3_11
2467,10.1007/978-0-8176-4751-3_16
2468,10.1007/978-0-8176-4789-6_1
2469,10.1007/978-0-8176-4789-6_16
2470,10.1002/ajp.20903
2471,10.1101/666271
2472,10.1007/978-3-030-14683-2_8
2473,10.1002/ajp.23024
2474,10.1101/675017
2475,10.1101/2021.08.22.457247
2476,10.1007/s13278-021-00779-3
2477,10.1117/12.2274058
2478,10.3390/ijerph15122703
2479,10.3790/sfo.61.1.11
2480,10.1101/685487
2481,10.1299/kikaic.78.3529
2482,10.1162/jocn_a_00810
2483,10.1101/692269
2484,10.1162/jocn_a_00911
2485,10.1007/978-3-642-38768-5_73
2486,10.1162/jocn_a_01026
2487,10.1162/jocn_a_01203
2488,10.2139/ssrn.2978505
2489,10.1371/journal.pone.0256456
2490,10.3390/su11246958
2491,10.1162/neco_a_00314
2492,10.1007/978-3-642-39071-5_14
2493,10.1162/neco_a_00673
2494,10.1101/708479
2495,10.1162/neco_a_00936
2496,10.2139/ssrn.2998546
2497,10.1007/978-3-642-39179-8_10
2498,10.1162/neco_a_01205
2499,10.1162/netn_a_00002
2500,10.1162/netn_a_00022
