user_doi,doi
3001,10.1002/9781119970606.ch10
3002,10.1080/00207543.2013.879617
3003,10.3141/2460-14
3004,10.1007/978-3-030-51825-7_2
3005,10.3141/2566-08
3006,10.1007/978-3-030-52705-1_11
3007,10.1007/978-3-030-52991-8_7
3008,10.1007/s10551-016-3266-8
3009,10.1145/3299876
3010,10.3145/epi.2014.may.07
3011,10.1145/3302425.3302478
3012,10.1145/3319619.3322073
3013,10.1145/3319619.3326831
3014,10.1080/15256480.2019.1692752
3015,10.1007/s10489-020-01926-7
3016,10.1007/s00521-012-1115-y
3017,10.2139/ssrn.3867369
3018,10.1007/s00521-013-1529-1
3019,10.1186/s12859-015-0751-5
3020,10.1007/s00521-016-2222-y
3021,10.1007/s11277-020-07508-7
3022,10.1007/s00521-016-2264-1
3023,10.1007/s12083-016-0427-6
3024,10.1007/s12083-016-0457-0
3025,10.1007/978-3-319-54621-6_3
3026,10.1007/s00521-018-3508-z
3027,10.1186/s12859-018-2350-8
3028,10.1186/s12859-018-2351-7
3029,10.1186/s12859-018-2468-8
3030,10.1186/s12859-018-2480-z
3031,10.1186/s12859-019-2626-7
3032,10.1186/s12859-019-2746-0
3033,10.1088/1361-6544/aab0b5
3034,10.1002/jmor.20690
3035,10.1186/s12859-019-2890-6
3036,10.1186/s12859-019-2900-8
3037,10.19168/jyasar.794553
3038,10.1007/978-3-319-57365-6_44-1
3039,10.1007/s00354-021-00122-6
3040,10.1007/978-3-319-55471-6_1
3041,10.1007/978-3-319-55471-6_2
3042,10.3389/fnsys.2021.624183
3043,10.3154/tvsj.29.9
3044,10.3156/jsoft.25.540
3045,10.1007/978-3-662-43871-8_239
3046,10.1142/s0217979220502537
3047,10.1186/s12862-017-1101-1
3048,10.1177/1525822x20908236
3049,10.17208/jkpa.2016.11.51.6.79
3050,10.1007/s41109-021-00387-2
3051,10.1007/s41109-021-00388-1
3052,10.1007/s41109-021-00371-w
3053,10.1177/0308518x19866213
3054,10.1007/s10955-014-1043-6
3055,10.1007/s12108-015-9291-8
3056,10.1007/s10955-017-1772-4
3057,10.1007/s10955-018-2039-4
3058,10.1007/s10955-018-2084-z
3059,10.1101/2020.07.28.20163329
3060,10.1162/netn_a_00178
3061,10.1371/journal.pcbi.0030239
3062,10.1186/s12864-016-2476-x
3063,10.1007/978-3-662-45049-9_102
3064,10.1007/s10115-020-01500-0
3065,10.1007/s10957-017-1213-1
3066,10.7554/elife.63207
3067,10.1007/978-3-662-45558-6_22
3068,10.1007/s10472-020-09709-z
3069,10.1088/1367-2630/10/12/123023
3070,10.1007/s11367-016-1222-6
3071,10.1088/1367-2630/10/4/043002
3072,10.1088/1367-2630/10/5/053039
3073,10.1088/1367-2630/11/11/113003
3074,10.1097/md.0000000000022655
3075,10.1101/2020.06.16.151555
3076,10.1088/1367-2630/11/3/033015
3077,10.1088/1367-2630/11/4/043025
3078,10.1177/1550147718770087
3079,10.1007/s10961-017-9585-9
3080,10.1080/1206212x.2021.1915444
3081,10.3233/jifs-201342
3082,10.3233/jifs-202366
3083,10.1007/s10961-019-09748-7
3084,10.1111/padm.12599
3085,10.1088/1367-2630/12/10/103018
3086,10.1186/s12864-018-4654-5
3087,10.1088/1367-2630/12/5/053009
3088,10.1186/s40649-021-00091-2
3089,10.1088/1367-2630/13/12/123024
3090,10.1186/s40649-021-00093-0
3091,10.3233/ida-184432
3092,10.1101/2020.06.28.176180
3093,10.1007/978-3-319-56212-4_4
3094,10.1007/978-3-319-56212-4_6
3095,10.1088/1367-2630/14/12/123017
3096,10.1088/1367-2630/14/2/023005
3097,10.1007/978-3-319-56246-9_16
3098,10.1007/978-3-030-53980-1_120
3099,10.1007/978-3-319-56538-5_8
3100,10.1177/0361198118772723
3101,10.1007/s11390-008-9163-6
3102,10.1007/s11390-011-0177-0
3103,10.1007/s11390-011-0178-z
3104,10.1007/s11390-012-1227-y
3105,10.1007/s11390-012-1235-y
3106,10.1007/s11390-012-1236-x
3107,10.1007/s11390-012-1237-9
3108,10.1007/s11390-012-1240-1
3109,10.1007/s11390-013-1378-5
3110,10.1101/798611
3111,10.1177/0361198119843264
3112,10.1201/9781420091830.ch11
3113,10.1007/s11403-009-0057-7
3114,10.1007/s11403-015-0165-5
3115,10.1007/s13278-020-00686-z
3116,10.1088/1367-2630/17/1/013044
3117,10.17706/ijcee.2016.8.3.207-218
3118,10.17706/jsw.10.7.825-834
3119,10.1101/2020.02.26.20028092
3120,10.1038/s41598-020-66956-0
3121,10.1007/978-3-662-47401-3_31
3122,10.1007/978-3-662-47824-0_2
3123,10.1007/978-3-662-48119-6_26
3124,10.1088/1367-2630/8/4/052
3125,10.1145/2071396.2071400
3126,10.1002/ldr.4022
3127,10.3233/jifs-179519
3128,10.1088/1367-2630/9/6/176
3129,10.1088/1367-2630/9/6/178
3130,10.1088/1367-2630/9/6/187
3131,10.1088/1367-2630/9/6/188
3132,10.3233/jifs-190320
3133,10.1088/1367-2630/9/7/220
3134,10.1088/1367-2630/aa574f
3135,10.1145/1514888.1514890
3136,10.1145/1514888.1514892
3137,10.1007/s11424-008-9140-8
3138,10.1007/s11424-010-0202-3
3139,10.1007/s11424-010-0204-1
3140,10.1007/s11424-015-2169-6
3141,10.1088/1367-2630/aab547
3142,10.1007/s11424-018-7270-1
3143,10.1088/1367-2630/aabe5f
3144,10.1101/2020.06.16.20132142
3145,10.3390/app10062171
3146,10.1007/978-3-319-57454-7_37
3147,10.1007/978-3-319-57529-2_60
3148,10.1007/978-3-319-57529-2_61
3149,10.1088/1367-2630/aafa49
3150,10.1101/846071
