user_id,doi
1,10.1016/j.stem.2021.08.015
2,10.1186/s13059-020-02238-2
3,10.1186/s13073-020-00799-2
4,10.1016/j.pbi.2020.04.002
5,10.1016/j.cell.2021.08.020
6,10.1101/2021.09.13.459999
7,10.1007/978-3-030-65347-7_15
8,10.1126/science.aaw6433
9,10.1371/journal.pone.0244839
10,10.1093/bioinformatics/btz625
11,10.15252/msb.20209798
12,10.1101/788554
13,10.1101/789875
14,10.1016/j.robot.2020.103567
15,10.17928/jjadh.5.2_84
16,10.1038/s41592-019-0654-x
17,10.1007/s11301-021-00240-x
18,10.3390/en13040975
19,10.1101/2021.09.06.459120
20,10.35414/akufemubid.870835
21,10.1186/s13059-019-1837-6
22,10.1186/s13059-019-1906-x
23,10.1186/s13059-020-1932-8
24,10.1371/journal.pone.0223480
25,10.1007/s12650-021-00788-6
26,10.3389/fmars.2021.717469
27,10.1016/j.stem.2020.08.004
28,10.1016/j.stem.2020.11.015
29,10.1016/j.future.2021.08.026
30,10.1038/s41467-021-24358-4
31,10.1371/journal.pone.0256696
32,10.1212/nxi.0000000000001070
33,10.1016/j.tibtech.2020.10.013
34,10.1101/2021.08.26.457824
35,10.1101/2021.08.25.457383
36,10.1140/epjds/s13688-021-00297-4
37,10.1371/journal.pone.0255717
38,10.1101/661728
39,10.1101/2021.08.23.457305
40,10.1101/673285
41,10.1101/678060
42,10.1101/701680
43,10.1038/s41586-019-1168-5
44,10.3389/fgene.2021.681206
45,10.1101/727867
46,10.1101/2021.08.16.456499
47,10.1101/741405
48,10.1101/746339
49,10.1101/761981
50,10.1101/765628
51,10.1038/s41540-019-0112-5
52,10.1038/s41587-021-01037-9
53,10.1016/j.xpro.2021.100705
54,10.1016/j.xcrm.2021.100374
55,10.1016/j.jclepro.2021.128614
56,10.1101/2021.08.13.456172
57,10.1007/s10796-021-10164-2
58,10.3390/ijerph18168578
59,10.7554/elife.68967
60,10.1038/s41588-021-00909-9
61,10.1007/s10618-021-00779-z
62,10.1101/2021.08.10.455824
63,10.1101/2021.08.10.455781
64,10.1101/2020.02.18.955393
65,10.1101/2021.08.09.21261701
66,10.1209/0295-5075/134/58002
67,10.1101/2020.02.25.960302
68,10.1101/2020.02.26.967133
69,10.1038/s41586-019-1885-9
70,10.1038/s41586-020-2024-3
71,10.1101/2020.02.28.970202
72,10.1101/2020.02.29.970558
73,10.1101/2020.03.03.974220
74,10.1101/2020.03.05.979112
75,10.1016/j.ydbio.2021.08.001
76,10.1016/j.bbi.2021.08.002
77,10.1101/2021.08.06.455422
78,10.12688/f1000research.54864.1
79,10.3390/buildings11100435
80,10.1101/2021.09.25.461790
81,10.1101/2021.08.02.454639
82,10.1007/s41109-020-00255-5
