user_id,doi
1000,10.1098/rsos.150690
1500,10.1109/enic.2014.15
2000,10.1109/icc.2016.7511157
2500,10.1145/2766462.2767798
3000,10.1007/978-3-319-51563-2_5
3500,10.1002/hbm.25313
4000,10.1209/0295-5075/101/48001
4500,10.1007/s11192-016-1933-2
5000,10.1101/2020.11.16.383307
5500,10.1007/978-3-319-23871-5_6
6000,10.1587/transinf.2016edp7473
6500,10.3389/fcell.2022.845457
7000,10.1007/s00607-022-01121-1
7500,10.1093/bioinformatics/btac739
8000,10.1101/2022.05.18.492555
8500,10.3390/physics2040036
9000,10.1002/asi.23834
