user_doi,doi
1,10.1155/2014/723482
2,10.2196/preprints.16372
3,10.1109/icip.2017.8296490
4,10.1016/j.ocecoaman.2020.105313
5,10.1155/2014/738206
6,10.1051/matecconf/201817303040
7,10.1051/matecconf/201817603008
8,10.1029/2011gm001053
9,10.25046/aj030203
10,10.1109/icis.2009.94
11,10.1109/icis.2011.62
12,10.1016/j.omega.2018.10.008
13,10.1109/rios.2017.7956463
14,10.1016/j.omega.2020.102377
15,10.1109/rita.2016.2589482
16,10.1109/icisce.2017.188
17,10.2197/ipsjjip.23.402
18,10.2197/ipsjjip.23.753
19,10.1109/icise.2009.397
20,10.1109/icise.2010.5688759
21,10.1109/icise.2010.5691839
22,10.1109/icist.2011.5765074
23,10.1109/icist.2013.6747631
24,10.1109/icist.2013.6747668
25,10.1109/icist.2013.6747672
26,10.1021/acs.jctc.9b00119
27,10.1109/35021bigcomp.2015.7072830
28,10.1109/35021bigcomp.2015.7072848
29,10.1111/jvs.12665
30,10.2200/s00298ed1v01y201009dmk003
31,10.1155/2014/824904
32,10.3389/fncir.2018.00076
33,10.2200/s00796ed1v01y201708dmk014
34,10.1073/pnas.0811511106
35,10.2200/s00928ed1v01y201906dtm061
36,10.1109/icitcs.2014.7021707
37,10.1109/icites.2012.6216688
38,10.1073/pnas.0900142106
39,10.1016/j.omega.2018.11.005
40,10.1111/kykl.12081
41,10.1073/pnas.0903215107
42,10.1073/pnas.0907096106
43,10.1073/pnas.0907704106
44,10.2208/jscejipm.70.i_671
45,10.1101/562348
46,10.1007/s40314-015-0260-1
47,10.1155/2015/109671
48,10.1007/978-3-642-00580-0_10
49,10.1109/icme.2007.4284706
50,10.1073/pnas.0914748107
51,10.1155/2015/170656
52,10.1073/pnas.1002971107
53,10.1007/978-3-642-01206-8_4
54,10.1007/978-3-642-01206-8_5
55,10.1007/978-3-642-01206-8_6
56,10.1007/978-3-642-01206-8_7
57,10.1051/ro/2012001
58,10.1109/sahcn.2014.6990386
59,10.1051/ro/2015046
60,10.1073/pnas.1006642108
61,10.1051/ro:2008029
62,10.1007/978-3-642-01284-6_2
63,10.1109/saint.2007.9
64,10.1007/978-3-642-01307-2_98
65,10.1109/saint.2012.32
66,10.1109/icmit.2010.5492870
67,10.1155/2015/245075
68,10.1055/s-0041-1735257
69,10.1109/icmla.2011.57
70,10.1007/978-3-642-01513-7_91
71,10.1007/978-3-642-01516-8_23
72,10.1155/2015/273054
73,10.1016/j.compchemeng.2021.107544
74,10.1073/pnas.1014353108
75,10.1109/sbac-pad.2015.22
76,10.3389/fnhum.2014.00088
77,10.1016/j.osnem.2018.10.001
78,10.1109/icmlc.2009.5212748
79,10.1109/icmlc.2010.5580953
80,10.1155/2015/312621
81,10.1073/pnas.1018962108
82,10.1109/icmlc.2013.6890400
83,10.1007/978-3-030-87571-8_4
84,10.1109/icmlc.2014.7009098
85,10.1109/icmlc.2014.7009685
86,10.1109/icmlc.2015.7340609
87,10.1109/icmlc.2015.7340896
88,10.1109/sbrn.2012.47
89,10.1155/2015/328320
90,10.1109/sc.2005.4
91,10.1007/978-3-642-02011-7_24
92,10.1109/sc.2010.46
93,10.1109/sc.2012.25
94,10.1109/sc.2012.52
95,10.1021/acs.jctc.8b00733
96,10.3389/fnhum.2014.00954
97,10.1109/scc.2006.52
98,10.3389/fnhum.2015.00134
99,10.1109/scc.2014.67
100,10.1016/j.osnem.2017.10.003
101,10.1186/s13059-020-02228-4
102,10.1109/icmse.2012.6414162
103,10.1109/sccc.2016.7836018
104,10.1108/jstpc-01-2013-0001
105,10.1109/sceecs.2016.7509309
106,10.1109/scis-isis.2012.6505288
107,10.3389/fnhum.2015.00675
108,10.1109/icmt.2011.6001877
109,10.1108/k-12-2013-0272
110,10.1038/msb.2009.27
111,10.1109/icmult.2010.5631067
112,10.1155/2015/461362
113,10.1109/icnc.2008.324
114,10.1038/msb4100041
115,10.1016/j.parco.2015.03.003
116,10.1016/j.parco.2016.05.008
117,10.1109/icnc.2011.6022234
118,10.1109/secon.2012.6196954
119,10.1155/2015/493907
120,10.1109/secon.2012.6275788
121,10.1109/icnc.2013.6817950
122,10.1109/icnc.2014.6975817
123,10.1109/secon.2015.7133008
124,10.1109/icnc.2015.7378160
125,10.3390/molecules22122228
126,10.3389/fnhum.2017.00611
127,10.1109/icnidc.2016.7974610
128,10.1073/pnas.1200506109
129,10.3389/fnhum.2018.00138
130,10.1186/s40462-020-00233-7
131,10.1007/978-3-642-02158-9_14
132,10.1016/j.patcog.2012.04.029
133,10.1109/icnp.2013.6733594
134,10.1109/icnp.2013.6733622
135,10.1111/mec.13366
136,10.1109/services-1.2008.49
137,10.1111/coin.12087
138,10.1111/coin.12178
139,10.1007/978-3-642-02276-0_14
140,10.3390/molecules23051016
141,10.1155/2015/621264
142,10.3389/fninf.2016.00045
143,10.1016/j.patcog.2016.07.043
144,10.1111/mec.14059
145,10.1021/acs.jproteome.8b00302
146,10.1109/sibgrapi.2012.13
147,10.1109/icoict.2014.6914104
148,10.1007/978-3-642-02466-5_117
149,10.1007/978-3-642-02466-5_14
150,10.1007/978-3-642-02466-5_41
151,10.1007/978-3-642-02466-5_62
152,10.1007/978-3-642-02469-6_11
153,10.1007/978-3-642-02469-6_17
154,10.1109/sibgrapi.2017.22
155,10.1007/978-3-642-02469-6_6
156,10.1007/978-3-642-02469-6_81
157,10.1007/978-3-642-02469-6_93
158,10.1109/icoin.2011.5723190
159,10.1007/978-3-642-02504-4_18
160,10.1073/pnas.1216402109
161,10.1016/j.patrec.2015.02.005
162,10.1016/j.patrec.2015.11.008
163,10.1109/iconstem.2016.7560913
164,10.1016/j.patcog.2018.03.026
165,10.1016/j.patcog.2009.11.007
166,10.1016/j.patcog.2015.09.012
167,10.1073/pnas.1221839110
168,10.1016/j.patcog.2019.107070
169,10.1016/j.patrec.2009.11.001
170,10.1016/j.patrec.2011.06.008
171,10.1155/2015/754029
172,10.1007/s40547-014-0030-z
173,10.1038/nature09182
174,10.1109/icost.2011.6085841
175,10.3389/fnins.2016.00585
176,10.1016/j.patrec.2017.12.018
177,10.1109/sitis.2012.109
178,10.1016/j.patrec.2019.02.005
179,10.1016/j.patrec.2019.03.002
180,10.1109/sitis.2013.81
181,10.1109/sitis.2013.83
182,10.1109/sitis.2013.88
183,10.1109/sitis.2014.67
184,10.1109/sitis.2015.124
185,10.1109/sitis.2015.27
186,10.1109/sitis.2015.28
187,10.1109/sitis.2015.8
188,10.1109/icpads.2011.125
189,10.1007/978-3-030-30275-7_10
190,10.1073/pnas.1308621110
191,10.1016/j.pce.2011.07.083
192,10.1109/skg.2009.22
193,10.1109/skg.2016.009
194,10.1111/cts.12247
195,10.1111/cts.12267
196,10.1109/icpca.2011.6106538
197,10.1016/j.pbiomolbio.2013.09.004
198,10.1016/j.patcog.2016.09.013
199,10.1109/smap.2016.7753375
200,10.1155/2015/849140
201,10.1109/smartcity.2015.114
202,10.1109/smartcity.2015.70
203,10.1016/j.patcog.2020.107328
204,10.1029/2019jg005128
205,10.1109/smc.2013.789
206,10.1007/s40595-014-0025-6
207,10.1109/smc.2014.6974113
208,10.1109/smc.2015.42
209,10.1109/smc.2015.479
210,10.1109/smc.2017.8123071
211,10.1109/smcia.2008.5045958
212,10.3389/fnins.2018.00927
213,10.2514/6.2008-5814
214,10.1109/snpd.2013.55
215,10.1109/snpd.2016.7515870
216,10.1109/snpd.2017.8022716
217,10.1017/s0140525x09991567
218,10.1109/socialcom-passat.2012.59
219,10.1109/socialcom.2010.91
220,10.1109/socialcom.2010.96
221,10.1109/socialcom.2013.125
222,10.1109/socialcom.2013.25
223,10.1021/acs.jcim.7b00638
224,10.1109/socialinformatics.2012.109
225,10.1109/society.2013.10
226,10.1111/mms.12222
227,10.1109/socinfo.2009.14
228,10.1109/icpst.2008.4745313
229,10.1073/pnas.1409770111
230,10.1109/soli.2008.4682917
231,10.1109/acc.2011.5991173
232,10.1109/soli.2008.4686392
233,10.1109/acc.2011.5991335
234,10.1109/soli.2011.5986606
235,10.1155/2016/1873504
236,10.1109/acc.2014.6858618
237,10.1073/pnas.1415122111
