user_id,citing
4501,10.1186/s40537-017-0073-8
4502,10.1007/s11192-016-1968-4
4503,10.1038/s41598-021-84838-x
4504,10.1007/s11192-016-2091-2
4505,10.1007/s11192-016-2107-y
4506,10.1007/s11192-016-2119-7
4507,10.1007/s11192-016-2135-7
4508,10.1142/s0129183120501557
4509,10.1007/s11192-017-2297-y
4510,10.1007/s11192-017-2298-x
4511,10.1007/s11192-017-2300-7
4512,10.1007/s11192-017-2301-6
4513,10.1007/s11192-017-2303-4
4514,10.1007/s11192-017-2306-1
4515,10.1007/s11192-017-2318-x
4516,10.1007/s11192-017-2366-2
4517,10.1007/s11192-017-2368-0
4518,10.1007/s11192-017-2383-1
4519,10.1007/s11192-017-2394-y
4520,10.1007/s11192-017-2418-7
4521,10.1007/s11192-017-2496-6
4522,10.1007/s11192-017-2515-7
4523,10.1007/s11192-017-2550-4
4524,10.1007/s11192-017-2561-1
4525,10.1007/s11192-018-2648-3
4526,10.1007/s11192-018-2659-0
4527,10.1007/s11192-018-2695-9
4528,10.1007/s11192-018-2734-6
4529,10.1007/s11192-018-2768-9
4530,10.1007/s11192-018-2803-x
4531,10.2166/wst.2019.194
4532,10.1007/s11192-018-2836-1
4533,10.1038/s41598-021-86750-w
4534,10.1007/s11192-018-2892-6
4535,10.1038/s41598-021-87109-x
4536,10.1007/s11192-019-03086-z
4537,10.1007/s11192-019-03090-3
4538,10.1007/s11192-019-03095-y
4539,10.1038/s41598-021-87270-3
4540,10.1007/s11192-019-03112-0
4541,10.1080/01639625.2018.1481678
4542,10.1038/s41598-021-87333-5
4543,10.1007/s11192-019-03230-9
4544,10.1371/journal.pone.0240523
4545,10.3389/fgene.2018.00446
4546,10.1128/msystems.00903-19
4547,10.1371/journal.pone.0027028
4548,10.1145/2470654.2466449
4549,10.1111/emre.12401
4550,10.1145/2487575.2487669
4551,10.1145/2487575.2487666
4552,10.1145/2487575.2487696
4553,10.1145/2487575.2488194
4554,10.1145/2492517.2492518
4555,10.1145/2492517.2492548
4556,10.1145/2492517.2492568
4557,10.1145/2492517.2492569
4558,10.1145/2492517.2492578
4559,10.1145/2492517.2492600
4560,10.1145/2492517.2492633
4561,10.1145/2492517.2492644
4562,10.1145/2492517.2492651
4563,10.1145/2492517.2500235
4564,10.1145/2492517.2500236
4565,10.1145/2492517.2500238
4566,10.1145/2492517.2500286
4567,10.1145/2513549.2513553
4568,10.1145/2531602.2531642
4569,10.3389/fgene.2019.00164
4570,10.1007/978-1-0716-0849-4_9
4571,10.3389/fgene.2019.00381
4572,10.1145/2576768.2598277
4573,10.1145/2590296.2590344
4574,10.3390/foods10061168
4575,10.23919/icact.2018.8323838
4576,10.3389/fgene.2019.00734
4577,10.1007/978-3-319-95168-3_27
4578,10.1007/978-3-319-95168-3_28
4579,10.1145/2619239.2626326
4580,10.3389/fgene.2019.00753
4581,10.1145/2623330.2623376
4582,10.1145/2623330.2623629
4583,10.1145/2623330.2623707
4584,10.1145/2631775.2631808
4585,10.1145/2632048.2632056
4586,10.1371/journal.pone.0029358
4587,10.1145/2649387.2649446
4588,10.1007/978-3-319-95465-3_18
4589,10.1155/2012/186353
4590,10.1145/2818517.2818542
4591,10.3389/frma.2020.00005
4592,10.1002/sys.21518
4593,10.1002/sys.21519
4594,10.3389/frma.2020.575862
4595,10.1061/(asce)hy.1943-7900.0001882
4596,10.1371/journal.pone.0254057
4597,10.1186/s40649-014-0001-4
4598,10.1186/s40649-015-0016-5
4599,10.1186/s40649-015-0020-9
4600,10.1186/s40649-017-0042-6
4601,10.1186/s40649-017-0043-5
4602,10.1186/s40649-017-0044-4
4603,10.1186/s40649-018-0051-0
4604,10.1186/s40649-018-0058-6
4605,10.1186/s40649-018-0059-5
4606,10.1186/s40649-018-0060-z
4607,10.1186/s40649-019-0061-6
4608,10.1145/2994310.2994354
4609,10.1007/978-3-319-11985-4_7
4610,10.1145/3022198.3026354
4611,10.1145/3055366.3055374
4612,10.1145/3055601.3055609
4613,10.1145/3078714.3078738
4614,10.1145/3078897.3080534
4615,10.1145/3126858.3126884
4616,10.1145/3126858.3131605
4617,10.1186/s40665-016-0018-z
4618,10.1002/9781119487845.ch26
4619,10.1145/3159652.3159677
4620,10.1145/3164541.3164643
4621,10.1007/978-3-319-12188-8_5
4622,10.1007/978-3-319-12188-8_7
4623,10.1145/3170521.3170543
4624,10.1145/3173574.3173575
4625,10.1145/3173574.3174156
4626,10.1145/3183713.3183757
4627,10.1145/3200947.3201039
4628,10.1517/13543776.2016.1167877
4629,10.1145/3267305.3274765
4630,10.1093/cercor/bhx335
4631,10.1007/978-3-030-62005-9_15
4632,10.1007/978-3-030-62005-9_16
4633,10.1007/978-3-030-62005-9_29
4634,10.1007/978-3-030-62008-0_16
4635,10.1007/978-3-030-62522-1_41
4636,10.1007/978-3-319-12637-1_36
4637,10.1007/978-3-319-12643-2_12
4638,10.1089/brain.2012.0121
4639,10.1089/brain.2012.0122
4640,10.1177/1461444820932868
4641,10.1089/brain.2013.0142
4642,10.1177/1461444820943854
4643,10.1089/brain.2013.0151
4644,10.1089/brain.2013.0174
4645,10.1089/brain.2013.0175
4646,10.1145/3297001.3297009
4647,10.1007/978-3-319-12745-3_11
4648,10.1089/brain.2015.0406
4649,10.1145/3314183.3323460
4650,10.1089/brain.2016.0437
4651,10.1089/brain.2017.0523
4652,10.1089/brain.2017.0525
4653,10.1145/3322905.3322930
4654,10.1089/brain.2017.0556
4655,10.1145/3323503.3349556
4656,10.1089/brain.2018.0586
4657,10.1089/brain.2018.0603
4658,10.1007/s10844-014-0315-6
4659,10.1145/3338906.3338973
4660,10.1145/3338906.3342483
4661,10.1007/s10844-017-0451-x
4662,10.1007/s10844-017-0480-5
4663,10.1007/s10844-018-0521-8
4664,10.1007/s10844-018-0522-7
4665,10.1007/s10844-019-00545-0
4666,10.1145/3356395.3365539
4667,10.1016/j.jtrangeo.2021.102977
4668,10.1016/j.jtrangeo.2021.103110
4669,10.1007/978-3-319-13186-3_49
4670,10.1007/s11655-021-3336-3
4671,10.1177/1090198117739673
4672,10.1145/3416013.3426459
4673,10.1145/3423067
4674,10.1186/s12864-021-07659-2
4675,10.1145/3428658.3431077
4676,10.1038/s41596-020-0400-y
4677,10.1145/3430984.3431028
4678,10.1371/journal.pone.0032210
4679,10.1007/s12054-020-00317-z
4680,10.1093/gigascience/giaa102
4681,10.1002/essoar.10503716.1
4682,10.1093/bioinformatics/btaa172
4683,10.1093/bioinformatics/btaa233
4684,10.1101/2021.04.14.439569
4685,10.1101/2021.04.16.440115
4686,10.1101/2021.04.16.440238
4687,10.1101/2021.04.18.440319
4688,10.1101/2021.04.20.21255677
4689,10.1101/2021.04.22.441027
4690,10.1101/2021.04.24.441206
4691,10.1101/2021.04.26.441344
4692,10.1147/jrd.2014.2336177
4693,10.1371/journal.pone.0033255
4694,10.1101/2021.04.28.441890
4695,10.1101/2021.05.02.441899
4696,10.1177/1094428114562629
4697,10.1101/2021.05.03.442497
4698,10.1016/j.asoc.2021.107175
4699,10.1016/j.asoc.2021.107507
4700,10.1371/journal.pone.0033721
4701,10.1007/s11219-018-9430-x
4702,10.1002/cpe.5537
4703,10.1002/cpe.5624
4704,10.1007/s11222-016-9713-7
4705,10.1007/978-3-7091-1340-0_10
4706,10.1007/978-3-7091-1340-0_9
4707,10.1007/s11222-018-9832-4
4708,10.1371/journal.pone.0034368
4709,10.1007/978-3-030-03520-4_4
4710,10.1177/1096348016640588
4711,10.23919/mipro.2018.8400175
4712,10.1145/3358528.3358569
4713,10.1080/09537287.2018.1494345
4714,10.1145/3359852.3359940
4715,10.1145/3360498
4716,10.1007/978-1-4939-7131-2_110151
4717,10.1007/978-1-4939-7131-2_110153
4718,10.1007/978-1-4939-7131-2_110185
4719,10.1007/978-1-4939-7131-2_138
4720,10.1007/978-1-4939-7131-2_255
4721,10.1007/978-1-4939-7131-2_26
4722,10.1007/978-1-4939-7131-2_299
4723,10.1007/978-1-4939-7131-2_350
4724,10.1007/978-1-4939-7131-2_374
4725,10.1145/3362125.3362132
4726,10.1145/3362743.3362959
4727,10.1155/2020/6612848
4728,10.1145/3365109.3368793
4729,10.3389/fmicb.2019.02721
4730,10.1007/s13369-015-1905-5
4731,10.1080/09538259.2018.1449619
4732,10.1007/978-3-030-05411-3_28
4733,10.1007/978-3-030-05414-4_5
4734,10.1371/journal.pone.0037507
