user_id,doi
479,10.3724/sp.j.1004.2010.01160
480,10.1002/cpe.3374
481,10.1002/cpe.3896
482,10.1002/cpe.4355
483,10.1002/cpe.5267
484,10.1155/2019/9057531
485,10.1371/journal.pone.0256956
486,10.1155/2019/9764341
487,10.1109/glocom.2014.7037098
488,10.1109/glocom.2014.7037253
489,10.1007/978-3-030-01872-6_12
490,10.1109/grc.2011.6122697
491,10.1109/greencom-ithings-cpscom.2013.170
492,10.1109/tvcg.2017.2689016
493,10.1109/gsis.2015.7301846
494,10.1007/978-3-030-02698-1_10
495,10.3390/e17042228
496,10.1142/s1793351x18500022
497,10.1142/s1793351x18500071
498,10.3390/e18080282
499,10.1101/228551
500,10.3390/e20060471
